SMILES	SMARTS
CCN(CC)P(=NN=NC1:C:C:C:C:C:1C#N)(N(CC)CC)N(CC)CC	[#15](=[#7]-[#7]=[#7]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#6]#[#7])(-[#7](-[#6]-[#6])-[#6]-[#6])(-[#7](-[#6]-[#6])-[#6]-[#6])-[#7](-[#6]-[#6])-[#6]-[#6]
CCOC(=O)NN	[#6](=[#8])(-[#8]-[#6]-[#6])-[#7]-[#7]
[N-]=[N+]=NCC(=O)O	[#6](-[#6](-[#8])=[#8])-[#7]=[#7+]=[#7-]
[N-]=[N+]=NCCCN	[#7+](=[#7-])=[#7]-[#6]-[#6]-[#6]-[#7]
CONC(=O)C1:C:C:C(Br):O:1	[#6]1(:[#6]:[#6]:[#6](-[#35]):[#8]:1)-[#6](=[#8])-[#7]-[#8]-[#6]
FC(F)(F)C(Cl)Br	[#6](-[#9])(-[#9])(-[#9])-[#6](-[#17])-[#35]
[SeH]C1:C:C:C:C:C:1	[#6]1(:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[Se]
COC(C)(C)OC	[#8](-[#6])-[#6](-[#6])(-[#6])-[#8]-[#6]
CCOC(=O)C#N	[#6](=[#8])(-[#8]-[#6]-[#6])-[#6]#[#7]
[O-][N+]1:C:C:C:C:C:1	[#7+]1(:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#8-]
CCSN1:C:C:C:C:1	[#6]1:[#6]:[#7](:[#6]:[#6]:1)-[#16]-[#6]-[#6]
C[S+](C)CCC(=O)O	[#6](=[#8])(-[#8])-[#6]-[#6]-[#16+](-[#6])-[#6]
O=[N+]([O-])C1:C:C:C:C:N:1	[#6]1(:[#7]:[#6]:[#6]:[#6]:[#6]:1)-[#7+](-[#8-])=[#8]
NC(=NO)C1:C:C:C(Br):O:1	[#6]1(:[#6]:[#6]:[#6](-[#35]):[#8]:1)-[#6](=[#7]-[#8])-[#7]
CCOC(=O)[C@@H]1CC[C@@H]2O[N@]21	[#6]1-[#6@H](-[#7@]2-[#8]-[#6@H]-2-[#6]-1)-[#6](=[#8])-[#8]-[#6]-[#6]
O=C1C[C@@H]2CCCCN12	[#6]1-[#7]2-[#6](=[#8])-[#6]-[#6@@H]-2-[#6]-[#6]-[#6]-1
CN=C(NC)NC.[O-][Cl+3]([O-])([O-])O	[#17+3](-[#8-])(-[#8-])(-[#8-])-[#8].[#6](=[#7]-[#6])(-[#7]-[#6])-[#7]-[#6]
C1=NC2:C:C:C:C3:C:C:C:C(:C:2:3)N1	[#6]12:[#6]3-[#7]-[#6]=[#7]-[#6]:1:[#6]:[#6]:[#6]:[#6]:2:[#6]:[#6]:[#6]:3
CCC(C)(C)OO	[#6](-[#6])-[#6](-[#6])(-[#6])-[#8]-[#8]
O=C1:O:C2:C:C:C:C:C:2:C2:C:C:C:C:C:1:2	[#6]12:[#6]:[#6]:[#6]:[#6]:[#6]:1:[#8]:[#6](=[#8]):[#6]1:[#6]:2:[#6]:[#6]:[#6]:[#6]:1
OC1:C:C:C(Br):C:C:1Br	[#6]1(:[#6](-[#8]):[#6]:[#6]:[#6](:[#6]:1)-[#35])-[#35]
O=C1CC2:C:C:C:C:C:2O1	[#6]12:[#6](-[#8]-[#6](=[#8])-[#6]-1):[#6]:[#6]:[#6]:[#6]:2
O=P(Cl)(Cl)OC1:C:C:C:C:C:1	[#6]1(:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#8]-[#15](=[#8])(-[#17])-[#17]
NC1:C:C:C:C:C:1N	[#6]1(:[#6](-[#7]):[#6]:[#6]:[#6]:[#6]:1)-[#7]
COP(=O)(OC)OC	[#8](-[#6])-[#15](=[#8])(-[#8]-[#6])-[#8]-[#6]
O=C1O[C@H]([C@@H](O)CO)C(O)=C1OP(=O)(O)O	[#6]1(=[#6](-[#8])-[#6@@H](-[#6@@H](-[#8])-[#6]-[#8])-[#8]-[#6]-1=[#8])-[#8]-[#15](-[#8])(-[#8])=[#8]
CC(=O)N1C(=O)CCC1=O	[#6]1(=[#8])-[#7](-[#6](=[#8])-[#6]-[#6]-1)-[#6](-[#6])=[#8]
CO[P@@](N)(=O)SC	[#8](-[#6])-[#15@@](-[#7])(=[#8])-[#16]-[#6]
NCC(CN)CS	[#7]-[#6]-[#6](-[#6]-[#7])-[#6]-[#16]
O=C(O)P(O)(O)=S	[#15](-[#8])(-[#8])(=[#16])-[#6](-[#8])=[#8]
O=C1:C:C:C(=O):N:N:1	[#6]1(=[#8]):[#6]:[#6]:[#6](=[#8]):[#7H]:[#7H]:1
NC1:N:N:C(SCC(=O)NC(=O)C2:C:C:C:N:2):S:1	[#16]1:[#6](:[#7]:[#7]:[#6]:1-[#7])-[#16]-[#6]-[#6](=[#8])-[#7]-[#6](=[#8])-[#6]1:[#6]:[#6]:[#6]:[#7H]:1
CCC1=C(C)C=NC1=O	[#6]1(=[#6](-[#6](=[#8])-[#7]=[#6]-1)-[#6]-[#6])-[#6]
C[N+](C)(C)CCS.[I-]	[#6](-[#7+](-[#6])(-[#6])-[#6])-[#6]-[#16].[#53-]
NC1:C:C(N):[S+]:S:1	[#6]1(:[#6]:[#6](-[#7]):[#16+]:[#16]:1)-[#7]
C[N+](C)(N)CCO.[Cl-]	[#6](-[#7+](-[#6])(-[#6])-[#7])-[#6]-[#8].[#17-]
CC1=[N+](C)CCS1.[I-]	[#6]1(=[#7+](-[#6])-[#6]-[#6]-[#16]-1)-[#6].[#53-]
CC(NO)=C1C=CC(=NS(C)(=O)=O)C=C1	[#16](=[#8])(=[#8])(-[#6])-[#7]=[#6]1-[#6]=[#6]-[#6](=[#6](-[#6])-[#7]-[#8])-[#6]=[#6]-1
ON=C1C=CC(=NO)C=C1	[#6]1(=[#7]-[#8])-[#6]=[#6]-[#6](=[#7]-[#8])-[#6]=[#6]-1
CC(=O)C[C@@H](C)N	[#6](-[#6@@H](-[#6])-[#7])-[#6](-[#6])=[#8]
CC(=O)C(C)(C)C[N+](C)(C)C.[Br-]	[#6](-[#6](-[#6])(-[#6])-[#6](-[#6])=[#8])-[#7+](-[#6])(-[#6])-[#6].[#35-]
CC(C)=C1SC(=S)NC1=O	[#6]1(=[#6](-[#6])-[#6])-[#16]-[#6](=[#16])-[#7]-[#6]-1=[#8]
C1C2C3C4OC5C3C1C1C2C4C51	[#6]12-[#6]3-[#6]4-[#6]5-[#6]-[#6]-3-[#6]3-[#6]-1-[#6](-[#6]-4-[#8]-2)-[#6]-5-3
C1:C:C2:C3:C(:C:1):C:C:C1:C:C:C:C(:C:1:3)[C@@H]1O[C@H]21	[#6]12:[#6]3:[#6]:[#6]:[#6]4:[#6]:1:[#6](:[#6]:[#6]:[#6]:4)-[#6@H]1-[#6@@H](-[#6]:2:[#6]:[#6]:[#6]:3)-[#8]-1
NNC1:C:C:C(S(O)(O)O):C:C:1.[K+]	[#6]1:[#6]:[#6](:[#6]:[#6]:[#6]:1-[#7]-[#7])-[#16](-[#8])(-[#8])-[#8].[K+]
FC(F)(F)SC[C@H]1CCCN1	[#16](-[#6](-[#9])(-[#9])-[#9])-[#6]-[#6@@H]1-[#7]-[#6]-[#6]-[#6]-1
CC=NC(C)(C)C	[#7](=[#6]-[#6])-[#6](-[#6])(-[#6])-[#6]
CC1:C:C:C:C(N2:N:C(=S):S:C:2=S):C:1	[#6]1(=[#16]):[#7](:[#7H]:[#6](=[#16]):[#16]:1)-[#6]1:[#6]:[#6]:[#6]:[#6](:[#6]:1)-[#6]
N=[S@H](=O)C1:C:C:C:C:C:1F	[#8]=[#16@@H](=[#7])-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#9]
NC1:N:C(=S):S:S:1	[#6]1(:[#7]:[#6](=[#16]):[#16]:[#16]:1)-[#7]
O[C@@H]1C[C@H]2[C@@H]3C[C@@H]4[C@H]2[C@@H]4[C@@H]31	[#6]1-[#6@@H]2-[#6@H]3-[#6@@H]-2-[#6@@H]2-[#6@H](-[#8])-[#6]-[#6@H]-3-[#6@H]-1-2
CCOC(=O)N=S(N)(=O)C1:C:C:C:C:C:1	[#16](=[#7]-[#6](=[#8])-[#8]-[#6]-[#6])(=[#8])(-[#7])-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1
CC(C)(C)[S@@](N)=O	[#6]-[#6](-[#6])(-[#6])-[#16@@](-[#7])=[#8]
COC1:C:C:C2:C(:C:1)S(=O)(=O)C(S(N)(=O)=O)C2	[#6]12:[#6](-[#6]-[#6](-[#16]-1(=[#8])=[#8])-[#16](-[#7])(=[#8])=[#8]):[#6]:[#6]:[#6](:[#6]:2)-[#8]-[#6]
O=C1CSC(=S)N1CCS(=O)(=O)O	[#6](-[#16](-[#8])(=[#8])=[#8])-[#6]-[#7]1-[#6](=[#8])-[#6]-[#16]-[#6]-1=[#16]
Cl.N[N+]1=C[SH]([C@@H]2CCCNC2)C=C1	[#6]1-[#6]-[#6@@H](-[#16]2-[#6]=[#7+](-[#7])-[#6]=[#6]-2)-[#6]-[#7]-[#6]-1.[#17]
O=S1(=O)CCCO1	[#6]1-[#16](=[#8])(=[#8])-[#8]-[#6]-[#6]-1
CN(C)S(=O)(=O)Cl	[#8]=[#16](=[#8])(-[#17])-[#7](-[#6])-[#6]
CS(=O)(=O)NN=CC1:C:C:C:O:1	[#16](=[#8])(=[#8])(-[#6])-[#7]-[#7]=[#6]-[#6]1:[#6]:[#6]:[#6]:[#8]:1
NS(=O)(=O)N=C1CCCN1	[#16](=[#8])(=[#8])(-[#7])-[#7]=[#6]1-[#7]-[#6]-[#6]-[#6]-1
C=CS(=O)(=O)CC	[#6](-[#6])-[#16](=[#8])(=[#8])-[#6]=[#6]
CC1:C:C:C(S(=O)(=O)N2:C:C(CN(C)C):N:C:2C2:C:C:C:C:C:2):C:C:1	[#7]1:[#6](:[#7](-[#16](=[#8])(=[#8])-[#6]2:[#6]:[#6]:[#6](-[#6]):[#6]:[#6]:2):[#6]:[#6]:1-[#6]-[#7](-[#6])-[#6])-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1
CS(=O)(=O)N1:C:C:N:C:1	[#6]1:[#6]:[#7]:[#6]:[#7]:1-[#16](-[#6])(=[#8])=[#8]
CC1:C:C:C(S(=O)(=O)NC(=O)NCC2:C:C:C:O:2):C:C:1	[#6]1(:[#6]:[#6]:[#6](-[#6]):[#6]:[#6]:1)-[#16](=[#8])(=[#8])-[#7]-[#6](=[#8])-[#7]-[#6]-[#6]1:[#6]:[#6]:[#6]:[#8]:1
CS(C)=NC1:C:C:C(Br):C:N:1	[#7](=[#16](-[#6])-[#6])-[#6]1:[#6]:[#6]:[#6](-[#35]):[#6]:[#7]:1
CC(C)(C)C1:C:C(C(C)(C)C):C([N+](=O)[O-]):C(C(C)(C)C):C:1	[#6]1(:[#6](:[#6]:[#6](:[#6]:[#6]:1-[#6](-[#6])(-[#6])-[#6])-[#6](-[#6])(-[#6])-[#6])-[#6](-[#6])(-[#6])-[#6])-[#7+](-[#8-])=[#8]
CSCS(C)(=O)=O	[#6](-[#16](-[#6])(=[#8])=[#8])-[#16]-[#6]
CS(=O)(=O)SCN	[#16](-[#16](=[#8])(=[#8])-[#6])-[#6]-[#7]
CSC1(NCCC2:C:C:C:C:C:2)NC=CC(=O)N1	[#7]1-[#6](-[#7]-[#6]=[#6]-[#6]-1=[#8])(-[#7]-[#6]-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#16]-[#6]
CCN1CSCSC1	[#6]1-[#7](-[#6]-[#16]-[#6]-[#16]-1)-[#6]-[#6]
CC1(C)NCCS1	[#7]1-[#6](-[#6])(-[#6])-[#16]-[#6]-[#6]-1
S=C1:N:C(=S):C2:C:N:C(SCC3:C:C:C(Cl):C:C:3):N:C:2:N:1	[#6]12:[#6](:[#6](=[#16]):[#7H]:[#6](=[#16]):[#7H]:1):[#6]:[#7]:[#6](:[#7]:2)-[#16]-[#6]-[#6]1:[#6]:[#6]:[#6](-[#17]):[#6]:[#6]:1
O=C1:S:C2:C(:S:1)SCS2	[#6]12:[#6](:[#16]:[#6](=[#8]):[#16]:1)-[#16]-[#6]-[#16]-2
N#CSCSC#N	[#6](-[#16]-[#6]#[#7])-[#16]-[#6]#[#7]
O=C1CSC(=O)N1	[#6]1(=[#8])-[#7]-[#6](=[#8])-[#16]-[#6]-1
NCCNC(=S)S	[#7](-[#6](-[#16])=[#16])-[#6]-[#6]-[#7]
O=C(O)N1C(=O)CSC1=S	[#6]1(=[#8])-[#7](-[#6](=[#16])-[#16]-[#6]-1)-[#6](-[#8])=[#8]
CN1:N:N:N:C:1=S	[#6]1(=[#16]):[#7](-[#6]):[#7]:[#7]:[#7H]:1
SC1:N:N:C(S):S:1	[#6]1(:[#7]:[#7]:[#6](-[#16]):[#16]:1)-[#16]
CCSCC(C)=O	[#6](-[#6](-[#6])=[#8])-[#16]-[#6]-[#6]
CC1:C:C(C(=S)C2:C:C:C:O:2):C(C):O:1	[#6]1(:[#6](-[#6]):[#8]:[#6](:[#6]:1)-[#6])-[#6](=[#16])-[#6]1:[#6]:[#6]:[#6]:[#8]:1
O=S(=O)(N=CC1:C:C:C:O:1)C1:C:C:C:S:1	[#16](=[#8])(=[#8])(-[#6]1:[#6]:[#6]:[#6]:[#16]:1)-[#7]=[#6]-[#6]1:[#6]:[#6]:[#6]:[#8]:1
CCOC(=O)C1:C:C:C(NC(C)=O):O:1	[#6]1(:[#6]:[#6]:[#6](:[#8]:1)-[#7]-[#6](-[#6])=[#8])-[#6](=[#8])-[#8]-[#6]-[#6]
NC1:C:C:C(S):S:1	[#6]1(:[#6]:[#6]:[#6](-[#16]):[#16]:1)-[#7]
N1:N:C2:C3:C(:N:N:C4:C:3:C:1SS4)SS2	[#6]12:[#6]3-[#16]-[#16]-[#6]:1:[#7]:[#7]:[#6]1:[#6]:2:[#6](:[#7]:[#7]:3)-[#16]-[#16]-1
CON=C(C(=O)N[C@@H]1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=C(C=CC3:S:C:N:C:3C)CS[C@H]12)C1:C:S:C(N):N:1	[#7]12-[#6@@H](-[#6@H](-[#7]-[#6](=[#8])-[#6](=[#7]-[#8]-[#6])-[#6]3:[#6]:[#16]:[#6](:[#7]:3)-[#7])-[#6]-1=[#8])-[#16]-[#6]-[#6](=[#6]-2-[#6](=[#8])-[#8]-[#6]-[#8]-[#6](=[#8])-[#6](-[#6])(-[#6])-[#6])-[#6]=[#6]-[#6]1:[#6](-[#6]):[#7]:[#6]:[#16]:1
C1:C:C(C23CC4CC(CC(C4)C2)C3):O:C:1C12CC3CC(CC(C3)C1)C2	[#6]12(-[#6]3:[#6]:[#6]:[#6](-[#6]45-[#6]-[#6]6-[#6]-[#6](-[#6]-4)-[#6]-[#6](-[#6]-5)-[#6]-6):[#8]:3)-[#6]-[#6]3-[#6]-[#6](-[#6]-1)-[#6]-[#6](-[#6]-2)-[#6]-3
O=S(=O)(O)CS(=O)(=O)O	[#6](-[#16](-[#8])(=[#8])=[#8])-[#16](-[#8])(=[#8])=[#8]
COS(=O)(=O)C(F)(F)F	[#8](-[#6])-[#16](=[#8])(=[#8])-[#6](-[#9])(-[#9])-[#9]
COC(=O)C(F)(F)F	[#6](=[#8])(-[#6](-[#9])(-[#9])-[#9])-[#8]-[#6]
C1:C:C:C(C(C2:C:C:C:C:C:2)(C2:C:C:C:C:C:2)C2:C:C:C:N:2):C:C:1	[#6](-[#6]1:[#6]:[#6]:[#6]:[#7H]:1)(-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1)(-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1
COP(OC)OC	[#8](-[#6])-[#15](-[#8]-[#6])-[#8]-[#6]
O=C1:C:C:C:C:C:C:1	[#6]1(=[#8]):[#6]:[#6]:[#6]:[#6]:[#6]:[#6]:1
CN(C)C=CC#N	[#6](=[#6]-[#6]#[#7])-[#7](-[#6])-[#6]
N#CC1=COCCO1	[#6]1(=[#6]-[#8]-[#6]-[#6]-[#8]-1)-[#6]#[#7]
CC(C)(C)S(=O)(=O)C(=[N+]=[N-])S(=O)(=O)C(C)(C)C	[#6](=[#7+]=[#7-])(-[#16](=[#8])(=[#8])-[#6](-[#6])(-[#6])-[#6])-[#16](=[#8])(=[#8])-[#6](-[#6])(-[#6])-[#6]
COC=CC(C)=O	[#6](=[#6]-[#8]-[#6])-[#6](-[#6])=[#8]
O=C(O)C(Cl)=CCl	[#6](=[#6]-[#17])(-[#17])-[#6](=[#8])-[#8]
O=CC(Cl)=C(Cl)Cl	[#6](=[#6](-[#17])-[#17])(-[#17])-[#6]=[#8]
CC=C(C)[N+](=O)[O-]	[#6](=[#6]-[#6])(-[#6])-[#7+](-[#8-])=[#8]
CC(C)=CS(N)(=O)=O	[#6](=[#6](-[#6])-[#6])-[#16](=[#8])(=[#8])-[#7]
O=C(O)C(=NO)S(=O)(=O)C1:C:C:C:C:C:1	[#6]1(:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#16](=[#8])(=[#8])-[#6](=[#7]-[#8])-[#6](=[#8])-[#8]
CCN(CC)C(=O)[S@@](C)=O	[#6](=[#8])(-[#7](-[#6]-[#6])-[#6]-[#6])-[#16@@](-[#6])=[#8]
CC=CSS(C)=O	[#16](-[#16](-[#6])=[#8])-[#6]=[#6]-[#6]
