SMILES	SMARTS
C[C@@H]1CO[S@@](=O)O1	[#8]1-[#6@H](-[#6])-[#6]-[#8]-[#16@]-1=[#8]
CSC1:N:S:C(SCC(=O)NC(C)=O):N:1	[#7]1:[#6](:[#16]:[#7]:[#6]:1-[#16]-[#6])-[#16]-[#6]-[#6](=[#8])-[#7]-[#6](=[#8])-[#6]
CNC(=O)C#CCl	[#6](=[#8])(-[#6]#[#6]-[#17])-[#7]-[#6]
NS(=O)(=O)C#CC1:C:C:C:C:C:1	[#6](#[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#16](-[#7])(=[#8])=[#8]
O=C=NC(=O)CCl	[#6](=[#8])(-[#7]=[#6]=[#8])-[#6]-[#17]
COCNC(N)=S	[#7](-[#6](-[#7])=[#16])-[#6]-[#8]-[#6]
CC(C)(C)C1=NOC(=O)C1	[#6]1(=[#7]-[#8]-[#6](=[#8])-[#6]-1)-[#6](-[#6])(-[#6])-[#6]
O=C1C[N@@]2CC[C@H](N1)C(=NO)C2	[#6]1-[#7@]2-[#6]-[#6]-[#6@@H](-[#6]-1=[#7]-[#8])-[#7]-[#6](=[#8])-[#6]-2
NC1:C:C:C:C2:C:C:C:C:C:1:2	[#6]12:[#6]:[#6]:[#6]:[#6](:[#6]:1:[#6]:[#6]:[#6]:[#6]:2)-[#7]
NC1:C:C:C:C:C:1O	[#6]1(:[#6](-[#8]):[#6]:[#6]:[#6]:[#6]:1)-[#7]
O=C1CCC(=O)O1	[#6]1(=[#8])-[#8]-[#6](=[#8])-[#6]-[#6]-1
O=C(CS)NC1:C:C:C:C:C:1F	[#6]1(:[#6](-[#9]):[#6]:[#6]:[#6]:[#6]:1)-[#7]-[#6](=[#8])-[#6]-[#16]
CC(=O)NC1:C:C(Br):C:C(I):C:1	[#6]-[#6](=[#8])-[#7]-[#6]1:[#6]:[#6](:[#6]:[#6](:[#6]:1)-[#35])-[#53]
NC1:C:C:C:C:C:1I	[#6]1(:[#6](-[#53]):[#6]:[#6]:[#6]:[#6]:1)-[#7]
NC1:C:C:C:C:C:1S	[#6]1(:[#6](-[#16]):[#6]:[#6]:[#6]:[#6]:1)-[#7]
NC1:C:C:C(N2CCOCC2):C(Br):C:1	[#6]1(:[#6]:[#6]:[#6](-[#7]):[#6]:[#6]:1-[#35])-[#7]1-[#6]-[#6]-[#8]-[#6]-[#6]-1
BrC1:C:C:C:C(N2C=CC=CN2):C:1	[#6]1=[#6]-[#7](-[#7]-[#6]=[#6]-1)-[#6]1:[#6]:[#6]:[#6]:[#6](:[#6]:1)-[#35]
C1:C:C:C2:N:C3:C:C:C:C:C:3:N:C:2:C:1	[#6]12:[#7]:[#6]3:[#6]:[#6]:[#6]:[#6]:[#6]:3:[#7]:[#6]:1:[#6]:[#6]:[#6]:[#6]:2
NC1:C:C2:C:C:C:C:C:2:C2:C:C:C:C:C:1:2	[#6]12:[#6]3:[#6](:[#6](-[#7]):[#6]:[#6]:1:[#6]:[#6]:[#6]:[#6]:2):[#6]:[#6]:[#6]:[#6]:3
O=C1C2:C:C:C:C:C:2C2:C:C:C:C3:C:C:C:C1:C:2:3	[#6]12:[#6]3-[#6]4:[#6]:[#6]:[#6]:[#6]:[#6]:4-[#6](=[#8])-[#6]:1:[#6]:[#6]:[#6]:[#6]:2:[#6]:[#6]:[#6]:3
IC1:N:C:N:C:1I	[#6]1(:[#6](-[#53]):[#7]:[#6]:[#7H]:1)-[#53]
CN1:C(=O):N:C2:N:N:C:N:C2:C:1=O	[#6]12:[#7]:[#6]:[#7]:[#7H]:[#6]-1:[#7]:[#6](=[#8]):[#7](-[#6]):[#6]:2=[#8]
CC1=CC(=O)C2:C:C:C:C:C:21	[#6]1(=[#6]-[#6](=[#8])-[#6]2:[#6]-1:[#6]:[#6]:[#6]:[#6]:2)-[#6]
CC1(C)COC1=O	[#6]1(=[#8])-[#6](-[#6])(-[#6])-[#6]-[#8]-1
N=C(N)NC(=N)N	[#6](-[#7])(=[#7])-[#7]-[#6](-[#7])=[#7]
O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21	[#7]1-[#6@H]2-[#6@@H](-[#7]-[#6]-1=[#8])-[#6]-[#16]-[#6@H]-2-[#6]-[#6]-[#6]-[#6]-[#6](-[#8])=[#8]
CC1:S:C(C):C(C2=C(C3:C(C):S:C(C):C:3C)C(=O)NC2=O):C:1C	[#6]1(=[#6](-[#6]2:[#6](-[#6]):[#16]:[#6](:[#6]:2-[#6])-[#6])-[#6](=[#8])-[#7]-[#6]-1=[#8])-[#6]1:[#6](-[#6]):[#16]:[#6](:[#6]:1-[#6])-[#6]
CC(C)(C)OC(=O)N[C@H]1CC[C@H]1NC(=O)OC(C)(C)C	[#8](-[#6](-[#6])(-[#6])-[#6])-[#6](=[#8])-[#7]-[#6@H]1-[#6@@H](-[#7]-[#6](=[#8])-[#8]-[#6](-[#6])(-[#6])-[#6])-[#6]-[#6]-1
BrC1:C:C:C(Br):O:1	[#6]1(:[#6]:[#6]:[#6](-[#35]):[#8]:1)-[#35]
CCCCNCCS	[#6](-[#7]-[#6]-[#6]-[#16])-[#6]-[#6]-[#6]
N#CCCCC#N	[#6](-[#6]-[#6]#[#7])-[#6]-[#6]#[#7]
C#CCCCC#N	[#6](-[#6]-[#6]#[#6])-[#6]-[#6]#[#7]
CCCCCCCO	[#6](-[#6]-[#6]-[#6]-[#8])-[#6]-[#6]-[#6]
OC1CCCCCC1	[#6]1-[#6](-[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-1
